City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Tomatlan,MX,86.23,overcast clouds,19.9333,-105.25,Norma franco
202,Port Blair,IN,81.45,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
205,Bairiki,KI,87.8,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
209,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
214,Shenzhen,CN,78.01,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
215,Tombouctou,ML,88.09,scattered clouds,20.0,-3.0,
220,Bata,GQ,77.0,scattered clouds,1.8639,9.7658,Hotel Elik Melen
226,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
227,Sirawai,PH,83.95,broken clouds,7.5854,122.1407,Santo Niño Beach
230,Mathbaria,BD,78.24,few clouds,22.2876,89.9593,Shikdar Hotel
232,Kavaratti,IN,84.22,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
238,Ewa Beach,US,84.2,broken clouds,21.3156,-158.0072,Uncle Junior Robert
240,Poya,NC,76.46,light rain,-21.35,165.15,
248,Jawhar,SO,79.79,broken clouds,2.7809,45.5005,cosoble spare parts
252,Abu Kamal,SY,78.08,few clouds,34.4506,40.9171,محطة التلفاز
255,Maunabo,PR,79.0,scattered clouds,18.0072,-65.8993,Maunacaribe
258,Arlit,NE,89.6,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
260,Salalah,OM,82.4,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
265,Ternate,ID,83.41,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
266,Manaure,CO,83.28,overcast clouds,11.7751,-72.4445,Hotel Palaaima
267,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
268,Ixtapa,MX,80.6,broken clouds,20.7,-105.2,Hotel Plaza Providencia
271,Lorengau,PG,82.35,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
277,Seminole,US,84.2,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
278,Harper,LR,81.14,light rain,4.375,-7.7169,Screensaver
281,Isla Mujeres,MX,84.0,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
