City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Vardo,NO,70.3705,31.1107,35.13,76,100,20.67,overcast clouds
178,Manthani,IN,18.65,79.6667,83.43,63,11,9.89,few clouds
179,Hamilton,US,39.1834,-84.5333,53.01,87,90,4.61,overcast clouds
180,Severo-Yeniseyskiy,RU,60.3725,93.0408,31.12,93,100,2.15,overcast clouds
181,Kruisfontein,ZA,-34.0033,24.7314,59.0,93,63,1.99,broken clouds
182,Victoria,HK,22.2855,114.1577,78.01,87,67,1.01,broken clouds
183,Orlik,RU,52.5178,99.825,24.57,80,94,1.07,overcast clouds
184,Haines Junction,CA,60.7522,-137.5108,55.4,19,23,5.75,few clouds
185,Atar,MR,20.5169,-13.0499,80.35,14,0,4.34,clear sky
186,Puteyets,RU,65.1716,57.091,39.69,75,87,6.98,overcast clouds
187,Narsaq,GL,60.9167,-46.05,53.6,32,90,29.93,overcast clouds
188,Trapani,IT,37.8333,12.6667,51.8,93,0,4.61,clear sky
189,Moranbah,AU,-22.0016,148.0466,71.47,66,84,20.78,broken clouds
190,Prince Albert,CA,53.2001,-105.7677,39.2,28,75,3.44,broken clouds
191,Okhotsk,RU,59.3833,143.3,24.75,63,15,18.1,few clouds
192,Santarem,BR,-2.4431,-54.7083,82.4,83,0,8.05,clear sky
193,Kidal,ML,18.4411,1.4078,86.05,8,0,7.4,clear sky
194,Kahului,US,20.8947,-156.47,82.4,57,40,26.46,scattered clouds
195,Tual,ID,-5.6667,132.75,84.88,65,100,14.97,overcast clouds
196,Soyo,AO,-6.1349,12.3689,78.66,84,97,4.16,overcast clouds
197,Tomatlan,MX,19.9333,-105.25,86.23,40,95,8.57,overcast clouds
198,Swan Hill,AU,-35.3378,143.5544,60.93,55,28,6.85,scattered clouds
199,Savinka,RU,50.0785,47.0994,42.13,82,3,10.22,clear sky
200,Santa Fe,AR,-31.6333,-60.7,66.99,80,27,1.01,light rain
